"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"15426-5427","P","Clayton","Kershaw","47.25","4","13000","MIA@LOS","LOS","MIA","","","",""
"15426-12306","P","Jake","Arrieta","52.5","4","12900","MIL@CHC","CHC","MIL","","","Yes",""
"15426-10978","P","Stephen","Strasburg","48.75","4","11500","PHI@WAS","WAS","PHI","","","",""
"15426-52172","P","Noah","Syndergaard","50.75","4","11300","CIN@NYM","NYM","CIN","","","",""
"15426-6311","P","Madison","Bumgarner","38.2","5","11100","SDP@SFG","SFG","SDP","","","",""
"15426-5661","P","Félix","Hernández","36","4","11000","HOU@SEA","SEA","HOU","","","",""
"15426-12477","P","Chris","Sale","49.8","5","10900","CWS@TOR","CWS","TOR","","","",""
"15426-37984","P","José","Fernández","35.75","4","10700","MIA@LOS","MIA","LOS","","","",""
"15426-5369","P","Jon","Lester","39.25","4","10600","MIL@CHC","CHC","MIL","","","",""
"15426-12921","P","Chris","Archer","32","5","10500","BAL@TAM","TAM","BAL","","","",""
"15426-52859","P","Jacob","deGrom","40","2","10500","CIN@NYM","NYM","CIN","","","",""
"15426-5481","P","Max","Scherzer","32.4","5","10500","PHI@WAS","WAS","PHI","","","",""
"15426-13627","P","Corey","Kluber","34.5","4","10400","CLE@MIN","CLE","MIN","","","",""
"15426-6266","P","Carlos","Carrasco","33","4","10200","CLE@MIN","CLE","MIN","DL","Leg","",""
"15426-5525","P","Cole","Hamels","39.75","4","10200","NYY@TEX","TEX","NYY","DTD","Groin","",""
"15426-5522","P","Zack","Greinke","20.833333333333332","6","10100","STL@ARI","ARI","STL","","","",""
"15426-17064","P","Sonny","Gray","40.75","4","10100","OAK@DET","OAK","DET","","","Yes",""
"15426-23089","P","Dallas","Keuchel","34.25","4","10100","HOU@SEA","HOU","SEA","","","",""
"15426-5320","P","Gio","González","40","3","9600","PHI@WAS","WAS","PHI","","","Yes",""
"15426-52268","P","Masahiro","Tanaka","32.75","4","9500","NYY@TEX","NYY","TEX","","","",""
"15426-5784","P","David","Price","41.2","5","9400","ATL@BOS","BOS","ATL","","","",""
"15426-5498","P","Johnny","Cueto","45.2","5","9300","SDP@SFG","SFG","SDP","","","",""
"15426-17074","P","Matt","Harvey","20.5","4","9300","CIN@NYM","NYM","CIN","","","Yes",""
"15426-13233","P","Nathan","Eovaldi","33.5","4","9100","NYY@TEX","NYY","TEX","","","",""
"15426-21097","P","Taijuan","Walker","40.5","4","9100","HOU@SEA","SEA","HOU","","","",""
"15426-6149","P","Jeff","Samardzija","33.75","4","9000","SDP@SFG","SFG","SDP","","","Yes",""
"15426-39686","P","Carlos","Martínez","43.5","4","9000","STL@ARI","STL","ARI","","","",""
"15426-16956","P","Gerrit","Cole","32","4","9000","PIT@COL","PIT","COL","","","",""
"15426-5754","P","John","Lackey","37.75","4","9000","MIL@CHC","CHC","MIL","","","",""
"15426-5762","P","Francisco","Liriano","28","4","9000","PIT@COL","PIT","COL","","","",""
"15426-6234","P","Jordan","Zimmermann","42.75","4","8900","OAK@DET","DET","OAK","","","",""
"15426-21118","P","Danny","Salazar","38.25","4","8900","CLE@MIN","CLE","MIN","","","",""
"15426-37014","P","Hyun-Jin","Ryu","0","0","8700","MIA@LOS","LOS","MIA","DL","Shoulder","",""
"15426-11088","P","Jaime","García","36.75","4","8700","STL@ARI","STL","ARI","","","",""
"15426-12455","P","Josh","Tomlin","41.5","2","8700","CLE@MIN","CLE","MIN","","","Yes",""
"15426-37999","P","Michael","Wacha","28.75","4","8700","STL@ARI","STL","ARI","","","",""
"15426-17087","P","Drew","Smyly","43.25","4","8700","BAL@TAM","TAM","BAL","","","",""
"15426-6320","P","Marco","Estrada","37","3","8600","CWS@TOR","TOR","CWS","","","Yes",""
"15426-13019","P","Garrett","Richards","34","5","8600","KAN@LAA","LAA","KAN","","","",""
"15426-5197","P","Clay","Buchholz","17.5","4","8600","ATL@BOS","BOS","ATL","","","",""
"15426-52159","P","Lance","McCullers","31.863636363636363","22","8600","HOU@SEA","HOU","SEA","DL","Shoulder","",""
"15426-60633","P","Carlos","Rodon","26.25","4","8500","CWS@TOR","CWS","TOR","","","",""
"15426-52174","P","Steven","Matz","32","3","8500","CIN@NYM","NYM","CIN","","","",""
"15426-5258","P","Jason","Hammel","42","4","8400","MIL@CHC","CHC","MIL","","","",""
"15426-16919","P","Hisashi","Iwakuma","24.75","4","8400","HOU@SEA","SEA","HOU","","","Yes",""
"15426-11354","P","Lance","Lynn","32.064516129032256","31","8400","STL@ARI","STL","ARI","DL","Elbow","",""
"15426-17164","P","Matt","Shoemaker","17.5","4","8400","KAN@LAA","LAA","KAN","","","",""
"15426-14003","P","Drew","Hutchison","38","1","8300","CWS@TOR","TOR","CWS","","","",""
"15426-21099","P","José","Quintana","37.25","4","8300","CWS@TOR","CWS","TOR","","","Yes",""
"15426-6206","P","Edinson","Vólquez","41","4","8200","KAN@LAA","KAN","LAA","","","",""
"15426-38013","P","Yordano","Ventura","34.5","4","8200","KAN@LAA","KAN","LAA","","","",""
"15426-8101","P","Ian","Kennedy","36.75","4","8200","KAN@LAA","KAN","LAA","","","",""
"15426-60644","P","Luis","Severino","12.5","4","8100","NYY@TEX","NYY","TEX","","","",""
"15426-5431","P","Adam","Wainwright","10","4","8100","STL@ARI","STL","ARI","","","Yes",""
"15426-16922","P","Wei-Yin","Chen","27.75","4","8100","MIA@LOS","MIA","LOS","","","",""
"15426-13783","P","Héctor","Santiago","40.25","4","8100","KAN@LAA","LAA","KAN","","","",""
"15426-5764","P","Derek","Holland","30","4","8100","NYY@TEX","TEX","NYY","","","",""
"15426-5202","P","Justin","Verlander","28","4","8000","OAK@DET","DET","OAK","","","Yes",""
"15426-21096","P","Erasmo","Ramírez","15.444444444444445","9","8000","BAL@TAM","TAM","BAL","","","",""
"15426-39041","P","Marcus","Stroman","29.4","5","7900","CWS@TOR","TOR","CWS","","","",""
"15426-11047","P","Colby","Lewis","29.25","4","7900","NYY@TEX","TEX","NYY","","","",""
"15426-5440","P","Yovani","Gallardo","12.75","4","7900","BAL@TAM","BAL","TAM","DL","Shoulder","",""
"15426-5624","P","Scott","Kazmir","18","4","7900","MIA@LOS","LOS","MIA","DTD","Thumb","Yes",""
"15426-5615","P","James","Shields","24.6","5","7900","SDP@SFG","SDP","SFG","","","",""
"15426-5363","P","C.J.","Wilson","31","21","7900","KAN@LAA","LAA","KAN","DL","Shoulder","",""
"15426-16959","P","Trevor","Bauer","11.666666666666666","6","7900","CLE@MIN","CLE","MIN","","","",""
"15426-5659","P","Rick","Porcello","46.25","4","7900","ATL@BOS","BOS","ATL","","","",""
"15426-13444","P","Mike","Fiers","24.75","4","7900","HOU@SEA","HOU","SEA","","","",""
"15426-68452","P","Kenta","Maeda","44.5","4","7800","MIA@LOS","LOS","MIA","","","",""
"15426-53043","P","Jesse","Hahn","27.875","16","7800","OAK@DET","OAK","DET","","","",""
"15426-62872","P","Vince","Velásquez","49","4","7800","PHI@WAS","PHI","WAS","","","",""
"15426-11317","P","Tyson","Ross","10","1","7800","SDP@SFG","SDP","SFG","DL","Shoulder","",""
"15426-61858","P","Raisel","Iglesias","30.2","5","7800","CIN@NYM","CIN","NYM","","","",""
"15426-13479","P","Joe","Kelly","14.666666666666666","3","7800","ATL@BOS","BOS","ATL","DL","Shoulder","",""
"15426-12864","P","Michael","Pineda","27","4","7700","NYY@TEX","NYY","TEX","","","",""
"15426-12918","P","Julio","Teherán","23.6","5","7700","ATL@BOS","ATL","BOS","","","",""
